No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
18,万丈　一道,ばんじょう,男,林,DF,68,76,11,12,14,16,12,14,10,191,169,68,63,72,60,69,70,69,1,2,2,2,3,2,1,1,4,23,494,ジャッジスルー,DR,63,22,,サイクロン,BL,64,32,,クイックドロウ,BL,8,15,一致,ダブルサイクロン,BL,84,40,,ジャッジスルーサイクロンクイックドロウダブルサイクロン,ジャッジスルーサイクロンクイックドロウダブルサイクロン,ジャッジスルーサイクロンクイックドロウダブルサイクロン,ジャッジスルーサイクロンクイックドロウダブルサイクロン,DRBLBLBL,DRBLBLBL,DRBLBLBL,DRBLBLBL
19,成神　健也,なるかみ,男,風,MF,64,64,12,10,13,16,15,17,11,165,168,64,64,72,69,64,62,66,1,2,2,2,3,2,1,1,4,23,484,キラースライド,BL,8,10,,イリュージョンボール,DR,47,23,,ダイナマイトシュート,NS,70,35,,スピニングカット,BB,58,30,一致,キラースライドイリュージョンボールダイナマイトシュートスピニングカット,キラースライドイリュージョンボールダイナマイトシュートスピニングカット,キラースライドイリュージョンボールダイナマイトシュートスピニングカット,キラースライドイリュージョンボールダイナマイトシュートスピニングカット,BLDRNSBB,BLDRNSBB,BLDRNSBB,BLDRNSBB
20,五条　勝,ごじょう,男,林,DF,62,66,13,10,12,14,12,13,12,189,149,76,67,73,67,63,66,63,1,1,1,1,1,1,1,1,1,23,498,キラースライド,BL,8,10,一致,ぶんしんフェイント,DR,76,36,一致,スーパースキャン（Ｂ）,BL,39,23,一致,スーパースキャン（Ｄ）,DR,38,22,一致,キラースライドぶんしんフェイントスーパースキャン（Ｂ）スーパースキャン（Ｄ）,キラースライドぶんしんフェイントスーパースキャン（Ｂ）スーパースキャン（Ｄ）,キラースライドぶんしんフェイントスーパースキャン（Ｂ）スーパースキャン（Ｄ）,キラースライドぶんしんフェイントスーパースキャン（Ｂ）スーパースキャン（Ｄ）,BLDRBLDR,BLDRBLDR,BLDRBLDR,BLDRBLDR
21,辺見　渡,へんみ,男,風,MF,69,72,16,10,15,12,16,16,14,189,188,76,64,72,79,70,57,69,1,2,2,2,3,2,1,1,4,31,518,キラースライド,BL,8,10,,ジャッジスルー,DR,63,22,,フリーズショット,NS,67,33,,デスゾーン,NS,104,59,,キラースライドジャッジスルーフリーズショットデスゾーン,キラースライドジャッジスルーフリーズショットデスゾーン,キラースライドジャッジスルーフリーズショットデスゾーン,キラースライドジャッジスルーフリーズショットデスゾーン,BLDRNSNS,BLDRNSNS,BLDRNSNS,BLDRNSNS
22,咲山　修二,さきやま,男,火,MF,60,74,12,13,12,11,17,11,14,195,153,61,71,67,70,71,54,62,1,1,4,2,2,4,1,1,1,24,480,イカサマ！,SK,0,0,,ジャッジスルー,DR,63,22,一致,ひゃくれつショット,NS,58,24,,ジャッジスルー２,DR,96,33,一致,イカサマ！ジャッジスルーひゃくれつショットジャッジスルー２,イカサマ！ジャッジスルーひゃくれつショットジャッジスルー２,イカサマ！ジャッジスルーひゃくれつショットジャッジスルー２,イカサマ！ジャッジスルーひゃくれつショットジャッジスルー２,SKDRNSDR,SKDRNSDR,SKDRNSDR,SKDRNSDR
23,洞面　秀一郎,どうめん,男,風,MF,69,68,12,11,13,10,14,13,11,171,184,70,56,76,59,69,60,61,1,2,2,2,3,2,1,1,4,28,479,イカサマ！,SK,0,0,,キラースライド,BL,8,10,,ぶんしんフェイント,DR,76,36,,デスゾーン,NS,104,59,,イカサマ！キラースライドぶんしんフェイントデスゾーン,イカサマ！キラースライドぶんしんフェイントデスゾーン,イカサマ！キラースライドぶんしんフェイントデスゾーン,イカサマ！キラースライドぶんしんフェイントデスゾーン,SKBLDRNS,SKBLDRNS,SKBLDRNS,SKBLDRNS
24,寺門　大貴,じもん,男,林,FW,54,76,20,11,14,15,14,17,16,184,133,75,69,68,68,78,61,64,1,1,1,1,1,1,1,1,1,30,513,イカサマ！,SK,0,0,,ひゃくれつショット,NS,58,24,一致,カマイタチ,DR,61,30,,にひゃくれつショット,BS,87,51,一致,イカサマ！ひゃくれつショットカマイタチにひゃくれつショット,イカサマ！ひゃくれつショットカマイタチにひゃくれつショット,イカサマ！ひゃくれつショットカマイタチにひゃくれつショット,イカサマ！ひゃくれつショットカマイタチにひゃくれつショット,SKNSDRBS,SKNSDRBS,SKNSDRBS,SKNSDRBS
25,佐久間　次郎,さくま,男,林,FW,62,90,16,12,17,13,17,13,16,193,193,70,60,78,66,66,67,71,1,3,3,2,3,1,1,2,2,27,505,オフェンスフォース,SK,0,0,,ジャッジスルー,DR,63,22,,こうていペンギン２ごう,NS,99,56,一致,こうていペンギン１ごう,NS,127,62,一致,オフェンスフォースジャッジスルーこうていペンギン２ごうこうていペンギン１ごう,オフェンスフォースジャッジスルーこうていペンギン２ごうこうていペンギン１ごう,オフェンスフォースジャッジスルーこうていペンギン２ごうこうていペンギン１ごう,オフェンスフォースジャッジスルーこうていペンギン２ごうこうていペンギン１ごう,SKDRNSNS,SKDRNSNS,SKDRNSNS,SKDRNSNS
26,兵藤　雄平,ひょうどう,男,林,GK,44,54,11,12,11,14,13,11,11,147,170,58,55,63,54,45,62,70,1,2,2,2,3,2,1,1,4,27,434,サイクロン,BL,64,32,,ねっけつヘッド,P1,46,28,,アースクェイク,BL,56,30,,フルパワーシールド,P1,61,34,,サイクロンねっけつヘッドアースクェイクフルパワーシールド,サイクロンねっけつヘッドアースクェイクフルパワーシールド,サイクロンねっけつヘッドアースクェイクフルパワーシールド,サイクロンねっけつヘッドアースクェイクフルパワーシールド,BLP1BLP1,BLP1BLP1,BLP1BLP1,BLP1BLP1
27,恵那　和樹,えな,男,風,FW,46,54,14,12,12,13,14,13,14,149,157,53,60,52,61,54,52,53,1,1,1,1,1,1,1,1,1,30,415,グレネードショット,NS,24,17,,キラースライド,BL,8,10,,ジャッジスルー,DR,63,22,,ツインブースト,NS,84,44,,グレネードショットキラースライドジャッジスルーツインブースト,グレネードショットキラースライドジャッジスルーツインブースト,グレネードショットキラースライドジャッジスルーツインブースト,グレネードショットキラースライドジャッジスルーツインブースト,NSBLDRNS,NSBLDRNS,NSBLDRNS,NSBLDRNS
28,椋本　圭,むくもと,男,風,FW,55,55,12,12,14,11,11,14,12,167,137,54,57,57,63,53,56,55,1,1,1,1,1,1,1,1,1,33,428,ジャッジスルー,DR,63,22,,スパイラルショット,NS,31,20,一致,ひゃくれつショット,NS,58,24,,コロドラシュート,NS,68,35,一致,ジャッジスルースパイラルショットひゃくれつショットコロドラシュート,ジャッジスルースパイラルショットひゃくれつショットコロドラシュート,ジャッジスルースパイラルショットひゃくれつショットコロドラシュート,ジャッジスルースパイラルショットひゃくれつショットコロドラシュート,DRNSNSNS,DRNSNSNS,DRNSNSNS,DRNSNSNS
29,渋木　翔大,しぶき,男,風,MF,58,49,12,12,14,11,13,11,12,171,136,53,52,54,56,52,60,44,1,1,1,1,1,1,1,1,1,26,397,キラースライド,BL,8,10,,たつまきせんぷう,DR,17,17,一致,スーパーアルマジロ,DR,38,22,,クンフーヘッド,NS,70,35,,キラースライドたつまきせんぷうスーパーアルマジロクンフーヘッド,キラースライドたつまきせんぷうスーパーアルマジロクンフーヘッド,キラースライドたつまきせんぷうスーパーアルマジロクンフーヘッド,キラースライドたつまきせんぷうスーパーアルマジロクンフーヘッド,BLDRDRNS,BLDRDRNS,BLDRDRNS,BLDRDRNS
30,大楠　星士,おおくす,男,山,FW,50,54,14,11,12,14,11,13,13,169,133,61,53,57,52,47,54,46,1,1,4,2,2,4,1,1,1,27,397,かみかくし,NS,43,24,一致,おんりょう,BL,16,17,,ホークショット,BS,78,34,,すいせいシュート,LS,45,36,,かみかくしおんりょうホークショットすいせいシュート,かみかくしおんりょうホークショットすいせいシュート,かみかくしおんりょうホークショットすいせいシュート,かみかくしおんりょうホークショットすいせいシュート,NSBLBSLS,NSBLBSLS,NSBLBSLS,NSBLBSLS
31,鉈　十三,じゅうぞう,男,風,GK,43,76,15,11,20,17,10,17,16,165,156,58,56,70,68,56,60,68,1,1,4,2,2,4,1,1,1,29,465,セツヤク！,SK,0,0,,キラーブレード,CA,12,17,,ゆがむくうかん,CA,15,19,,かえんほうしゃ,CA,76,41,,セツヤク！キラーブレードゆがむくうかんかえんほうしゃ,セツヤク！キラーブレードゆがむくうかんかえんほうしゃ,セツヤク！キラーブレードゆがむくうかんかえんほうしゃ,セツヤク！キラーブレードゆがむくうかんかえんほうしゃ,SKCACACA,SKCACACA,SKCACACA,SKCACACA
32,三途　渡,さんず,男,林,DF,42,56,14,10,14,12,17,13,12,140,137,60,53,60,52,63,65,58,1,1,1,1,1,1,1,1,1,22,433,おんりょう,BL,16,17,一致,かみかくし,NS,43,24,,のろい,DR,15,17,一致,ファントムシュート,NS,43,24,一致,おんりょうかみかくしのろいファントムシュート,おんりょうかみかくしのろいファントムシュート,おんりょうかみかくしのろいファントムシュート,おんりょうかみかくしのろいファントムシュート,BLNSDRNS,BLNSDRNS,BLNSDRNS,BLNSDRNS
33,柳田　しげる,やなぎだ,男,風,DF,55,56,12,9,12,10,13,12,14,151,152,52,54,57,57,60,54,63,1,1,1,1,1,1,1,1,1,20,417,ドッペルゲンガー,BL,16,17,,マジック,DR,22,17,,おんりょう,BL,16,17,,フェイクボール,BL,46,25,,ドッペルゲンガーマジックおんりょうフェイクボール,ドッペルゲンガーマジックおんりょうフェイクボール,ドッペルゲンガーマジックおんりょうフェイクボール,ドッペルゲンガーマジックおんりょうフェイクボール,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
34,不乱　拳,フランケン,男,山,DF,30,47,14,15,11,16,11,14,9,151,156,55,59,47,70,52,61,48,2,4,2,3,4,2,1,2,1,20,412,ねっけつパンチ,P1,8,17,,ロケットこぶし,P1,41,27,,ばくれつパンチ,P1,67,36,,カウンターストライク,P2,83,43,,ねっけつパンチロケットこぶしばくれつパンチカウンターストライク,ねっけつパンチロケットこぶしばくれつパンチカウンターストライク,ねっけつパンチロケットこぶしばくれつパンチカウンターストライク,ねっけつパンチロケットこぶしばくれつパンチカウンターストライク,P1P1P1P2,P1P1P1P2,P1P1P1P2,P1P1P1P2
35,屍　藤美,ふじみ,男,火,DF,49,66,12,10,14,10,12,10,13,187,132,52,58,56,61,56,79,53,2,4,2,3,4,2,1,2,1,17,432,ドッペルゲンガー,BL,16,17,,ファントムシュート,NS,43,24,,のろい,DR,15,17,,かげぬい,BL,64,32,,ドッペルゲンガーファントムシュートのろいかげぬい,ドッペルゲンガーファントムシュートのろいかげぬい,ドッペルゲンガーファントムシュートのろいかげぬい,ドッペルゲンガーファントムシュートのろいかげぬい,BLNSDRBL,BLNSDRBL,BLNSDRBL,BLNSDRBL
36,霊幻　道久,れいげん,男,風,MF,48,51,13,8,11,11,14,8,10,145,136,55,62,60,52,56,61,62,1,2,2,2,3,2,1,1,4,21,429,おんりょう,BL,16,17,,のろい,DR,15,17,,うしろのしょうめん,BL,41,17,,かげぬい,BL,64,32,,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
37,木乃伊　魔美,ミイラ,男,林,MF,54,55,13,11,12,12,12,12,12,187,137,54,52,60,52,62,75,61,1,2,2,2,3,2,1,1,4,23,439,おんりょう,BL,16,17,一致,どくぎりのじゅつ,DR,24,17,,くものいと,BL,56,30,一致,ゆがむくうかん,CA,15,19,,おんりょうどくぎりのじゅつくものいとゆがむくうかん,おんりょうどくぎりのじゅつくものいとゆがむくうかん,おんりょうどくぎりのじゅつくものいとゆがむくうかん,おんりょうどくぎりのじゅつくものいとゆがむくうかん,BLDRBLCA,BLDRBLCA,BLDRBLCA,BLDRBLCA
38,八墓　祟,やつはか,男,火,MF,54,74,11,12,11,10,11,11,12,180,144,57,65,60,52,71,56,55,1,1,4,2,2,4,1,1,1,32,448,のろい,DR,15,17,,かげぬい,BL,64,32,,ファントムシュート,NS,43,24,,カマイタチ,DR,61,30,,のろいかげぬいファントムシュートカマイタチ,のろいかげぬいファントムシュートカマイタチ,のろいかげぬいファントムシュートカマイタチ,のろいかげぬいファントムシュートカマイタチ,DRBLNSDR,DRBLNSDR,DRBLNSDR,DRBLNSDR
39,幽谷　博之,ゆうこく,男,林,FW,69,85,15,17,15,13,15,10,14,171,165,62,64,56,48,60,62,63,1,1,1,1,1,1,1,1,1,31,446,かみかくし,NS,43,24,,ファントムシュート,NS,43,24,一致,フリーズショット,NS,67,33,一致,ディバインアロー,NS,103,56,,かみかくしファントムシュートフリーズショットディバインアロー,かみかくしファントムシュートフリーズショットディバインアロー,かみかくしファントムシュートフリーズショットディバインアロー,かみかくしファントムシュートフリーズショットディバインアロー,NSNSNSNS,NSNSNSNS,NSNSNSNS,NSNSNSNS
40,月村　憲一,つきむら,男,火,MF,58,55,18,11,13,16,14,10,16,211,153,61,70,77,52,79,69,67,1,1,4,2,2,4,1,1,1,23,498,マジック,DR,22,17,,ファントムシュート,NS,43,24,,ムーンサルト,DR,38,22,,ツインブースト,NS,84,44,一致,マジックファントムシュートムーンサルトツインブースト,マジックファントムシュートムーンサルトツインブースト,マジックファントムシュートムーンサルトツインブースト,マジックファントムシュートムーンサルトツインブースト,DRNSDRNS,DRNSDRNS,DRNSDRNS,DRNSDRNS
41,武羅渡　牙,ブラッド,男,山,MF,54,70,17,15,15,13,13,10,13,184,152,68,52,52,51,56,62,60,2,1,2,1,1,2,1,2,3,30,431,むぞくせい,SK,0,0,,ファントムシュート,NS,43,24,,マジック,DR,22,17,,どくぎりのじゅつ,DR,24,17,,むぞくせいファントムシュートマジックどくぎりのじゅつ,むぞくせいファントムシュートマジックどくぎりのじゅつ,むぞくせいファントムシュートマジックどくぎりのじゅつ,むぞくせいファントムシュートマジックどくぎりのじゅつ,SKNSDRDR,SKNSDRDR,SKNSDRDR,SKNSDRDR
42,不死　祀,ふし,男,山,GK,38,53,9,11,7,19,11,14,10,200,156,47,46,50,40,51,74,56,2,2,2,3,4,2,1,2,1,22,386,しこふみ,BL,12,15,一致,ゆがむくうかん,CA,15,19,,ロケットこぶし,P1,41,27,,ホーントレイン,BB,16,17,,しこふみゆがむくうかんロケットこぶしホーントレイン,しこふみゆがむくうかんロケットこぶしホーントレイン,しこふみゆがむくうかんロケットこぶしホーントレイン,しこふみゆがむくうかんロケットこぶしホーントレイン,BLCAP1BB,BLCAP1BB,BLCAP1BB,BLCAP1BB
43,人形　幻,にんぎょう,男,林,FW,37,49,11,10,7,9,9,8,11,129,104,52,53,45,48,49,53,55,1,1,1,1,1,1,1,1,1,21,376,ファントムシュート,NS,43,24,一致,のろい,DR,15,17,一致,ドッペルゲンガー,BL,16,17,一致,あいきどう,DR,81,38,,ファントムシュートのろいドッペルゲンガーあいきどう,ファントムシュートのろいドッペルゲンガーあいきどう,ファントムシュートのろいドッペルゲンガーあいきどう,ファントムシュートのろいドッペルゲンガーあいきどう,NSDRBLDR,NSDRBLDR,NSDRBLDR,NSDRBLDR
44,円谷　未知,つぶらや,男,風,FW,36,52,11,9,8,9,9,11,8,149,112,48,51,51,50,48,55,44,1,1,1,1,1,1,1,1,1,19,366,すいせいシュート,LS,45,36,一致,かみかくし,NS,43,24,,クンフーヘッド,NS,70,35,,おんりょう,BL,16,17,,すいせいシュートかみかくしクンフーヘッドおんりょう,すいせいシュートかみかくしクンフーヘッドおんりょう,すいせいシュートかみかくしクンフーヘッドおんりょう,すいせいシュートかみかくしクンフーヘッドおんりょう,LSNSNSBL,LSNSNSBL,LSNSNSBL,LSNSNSBL
