No,Name,NickName,GENDER,ELEMENT,POSITION,ROLE,AGE_GROUP,SCHOOL_YEAR,TEAM,OBTAIN,IE1,IE2,IE3,GO1,GO2,GO3,ARS,ORI,VIC,KICK,CONTROL,TECHNIQUE,PRESSURE,PHYSICAL,AGILITY,INTELLIGENCE,SHOT,FOCUS(AT),FOCUS(DF),SCRAMBLE(AT),SCRAMBLE(DF),SHOT_BLOCK,KEEPER_POWER
23,成神 健也,成神,男,風,MF,選手,中学生,一年生,帝国学園/ネオジャパン,ヘッドホンが強さのヒミツ。リズムに乗って　相手を翻弄する。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
24,五条 勝,五条,男,林,DF,選手,中学生,二年生,帝国学園,経歴など一切不明。その心は　鬼道すら知るよしも無い。,○,○,○,○,○,○,×,×,○,86,90,91,98,102,88,110,176,200,201,212,208,200,854
25,辺見 渡,辺見,男,風,MF,選手,中学生,二年生,帝国学園,帝国に高いプライドを持ち他のチームを見下している。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
26,咲山 修二,咲山,男,火,MF,選手,中学生,二年生,帝国学園,ラフプレイはお手のもの。フィールドを駆ける暴走ヤロウ。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
27,洞面 秀一郎,洞面,男,風,MF,選手,中学生,一年生,帝国学園,頭の回転が速く　トリッキーな動きが武器。身軽な体格を活かしたフェイントも秀逸。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
28,寺門 大貴,寺門,男,林,FW,選手,中学生,二年生,帝国学園/ネオジャパン,切り込み隊長として　前線を押し上げ長い手足でダイナミックなシュートを放つ。,○,○,○,×,×,×,×,×,○,107,104,95,84,82,78,93,211,197,188,175,177,166,726
29,鬼道 有人,鬼道,男,風,MF,選手,中学生,二年生,帝国学園,的確な指示で　チームを勝利へ導く司令塔。技術　戦略ともに最高のプレイヤー。,○,○,○,○,○,○,×,×,○,104,112,109,91,92,85,100,216,212,209,192,191,183,798
30,佐久間 次郎,佐久間,男,林,FW,選手,中学生,二年生,帝国学園/イナズマジャパン,強力なシュート技を持つストライカー。帝国学園の参謀役として鬼道を支える。,○,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
31,兵藤 雄平,兵藤,男,林,GK,選手,中学生,二年生,帝国学園,体が大きく足も速い。あっという間に相手を抜き去る。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
32,恵那 和樹,恵那,男,風,FW,選手,中学生,三年生,帝国学園,故障がちなのでレギュラーではないがその実力は十分。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
33,椋本 圭,椋本,男,風,FW,選手,中学生,一年生,帝国学園,体は小さいけれどボールのキープ力はピカイチ。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
34,渋木 翔大,渋木,男,風,MF,選手,中学生,三年生,帝国学園,外見とは裏腹に細やかなプレイが得意。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
35,大楠 星士,大楠,男,山,FW,選手,中学生,二年生,帝国学園,ピンチの時に投入すると熱いプレイを繰り広げるプレイヤー。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
36,影山 零治,影山,男,風,MF,監督,大人,-,帝国学園/真・帝国学園,帝国学園総帥で　帝国サッカー部の監督。目的のためには手段を選ばない　非道な性格。,○,○,×,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
37,安西 勝,安西,男,林,DF,コーチ,大人,-,帝国学園,帝国学園の教師で　帝国サッカー部の顧問。影山が去った後　監督代行となった。,○,×,×,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
38,鉈 十三,十三,男,風,GK,選手,中学生,二年生,尾刈斗中,グラウンドの草刈りにナタを使うアブないヤツ。,○,○,○,×,×,×,×,×,○,83,90,84,91,99,104,90,173,180,174,189,181,190,895
39,三途 渡,三途,男,林,DF,選手,中学生,二年生,尾刈斗中,霊体験をしてからは本人も　生きている自信が持てないという。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
40,柳田 しげる,柳田,男,風,DF,選手,中学生,一年生,尾刈斗中,妖怪研究が趣味。何かあると何でも妖怪のせいにする。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
41,不乱 拳,フランケン,男,山,DF,選手,中学生,三年生,尾刈斗中,生き物を作り出す研究をしているが生物はニガテ科目らしい。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
42,屍 藤美,藤美,男,火,DF,選手,中学生,二年生,尾刈斗中,自分は不死身だと信じてわざとアブないことをする向こう見ずな選手。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
43,霊幻 道久,霊幻,男,風,MF,選手,中学生,二年生,尾刈斗中,体が硬いので　跳ねるように飛び回って相手をかく乱する。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
44,木乃伊 魔美,ミイラ,男,林,MF,選手,中学生,二年生,尾刈斗中,肌が乾燥しやすい体質のためいつも包帯をぐるぐるに巻いている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
45,八墓 祟,八墓,男,火,MF,選手,中学生,二年生,尾刈斗中,呪いや祟りに詳しく怒らせると災いが訪れると言われている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
46,幽谷 博之,幽谷,男,林,FW,選手,中学生,一年生,尾刈斗中/ネオジャパン,するどい霊感と　強い霊能力を活かして有名選手の霊から指導を受けているという。,○,○,○,×,○,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
47,月村 憲一,月村,男,火,MF,選手,中学生,三年生,尾刈斗中,月を見ると凶暴になるため『オオカミ男』と呼ばれている。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
48,武羅渡 牙,ブラッド,男,山,MF,選手,中学生,二年生,尾刈斗中,ナイターで最も活躍するフシギ体質。いつもトマトジュースを飲んでいる。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
49,不死 祀,不死,男,山,GK,選手,中学生,三年生,尾刈斗中,どんな大ケガにもほとんど痛みを感じない体の持ち主。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
50,人形 幻,にんぎょう,男,林,FW,選手,中学生,二年生,尾刈斗中,昔の記憶がまったくなく自分を人造人間だと思っている。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
51,円谷 未知,円谷,男,風,FW,選手,中学生,二年生,尾刈斗中,ＵＦＯの存在を信じており毎晩　夜空をチェックしている。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
52,黒上 呪,黒上,男,林,FW,選手,中学生,二年生,尾刈斗中,黒魔術に詳しく試合前に相手チームを呪っているとか。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
53,魔界 崇雄,魔界,男,林,MF,選手,中学生,三年生,尾刈斗中,自分は人間ではないと言い張りいつも奇妙な覆面をしている。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
54,地木流 灰人,地木流,男,山,DF,監督,大人,-,尾刈斗中,表と裏の顔を持つ　尾刈斗中の監督。普段は温厚だが　怒ると性格が一変する。,○,×,×,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
56,提灯 ほのり,提灯,女,風,GK,マネージャー,中学生,二年生,尾刈斗中,なぜか　マネージャーを何年も務めているが部員以外は誰も　その存在を知らないという。,○,×,×,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
57,猪口 兵吾,イノシシ,男,火,GK,選手,中学生,三年生,野生中,ボールにまっすぐ突っ込んでキープする姿は　まさにイノシシ！,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
58,鶏井 亮太,ニワトリ,男,火,MF,選手,中学生,一年生,野生中,まるで　ニワトリのツッツキのようにしつこくチャージを繰り返す。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
59,魚住 拓人,サカナ,男,林,DF,選手,中学生,二年生,野生中,海の生物に詳しいが　泳げない。プールの授業は休みがち。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
60,蛙田 達士,カエル,男,林,DF,選手,中学生,一年生,野生中,ジャンプ力がすごく部屋中カエルグッズで溢れている。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
61,獅子王 吼,ライオン,男,山,DF,選手,中学生,三年生,野生中,彼に逆らえる者は誰もいない。野生の王として守りを固める。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
62,香芽 レオン,カメレオン,男,風,MF,選手,中学生,三年生,野生中,存在感を完全に消し去りこっそりボールを奪っていく。,○,○,○,×,×,×,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
63,大鷲 誠次,ワシ,男,風,MF,選手,中学生,二年生,野生中,ワシのような視力で相手の動きを読み取り襲いかかってくる。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
64,猿田 登,サル,男,風,MF,選手,中学生,一年生,野生中,体は小さいけど　曲芸のような動きで相手を翻弄するぞ。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
65,五利 真吾,ゴリラ,男,山,FW,選手,中学生,二年生,野生中,いかつい顔と　がっしりした体格で敵ゴールに殴り込む。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
66,蛇丸 彰真,ヘビ,男,林,FW,選手,中学生,三年生,野生中,ボールに食らいつくとまるで巻きついたかのように離さない。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
67,水前寺 馳威太,チーター,男,風,FW,選手,中学生,三年生,野生中,１００メートル１０秒台の　驚異の速度で本物のチーターのように　敵を追い詰める。,○,○,○,×,○,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
68,小荒 登,コアラ,男,林,MF,選手,中学生,一年生,野生中,地面よりも木の上が落ち着くという変な性格の持ち主。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
69,判 竹夫,パンダ,男,火,FW,選手,中学生,三年生,野生中,一見優しそうで　みんなのアイドルだが実は性格はけっこう凶暴。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
70,荒井川 熊巳,アライグマ,男,林,DF,選手,中学生,二年生,野生中,食べ物の綺麗さにこだわり食材は一度は洗わないと気が済まない。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
71,根津 光夫,ネズミ,男,山,MF,選手,中学生,二年生,野生中,チーズが大好きで　食べにくい青カビチーズも　たくさん食べている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
72,牛尾 空也,ウシ,男,火,GK,選手,中学生,三年生,野生中,食べ物が切れると猛牛のように暴れ出す食いしん坊。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
73,他山 幸助,他山,男,風,MF,監督,大人,-,野生中,ターザンのような雄叫びを上げて選手たちとコミュニケーションが取れる。,○,×,×,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
74,富良 民子,富良,女,火,FW,マネージャー,中学生,二年生,野生中,生傷が絶えないが　サポートは元気いっぱい！フラミンゴのように　片足で立つ癖がある。,○,×,×,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
75,杉森 威,威,男,林,GK,選手,中学生,三年生,御影専農中,洗脳によって心の乱れを消し去った御影の司令塔。,○,○,○,×,○,○,×,×,○,83,90,84,91,99,104,90,173,180,174,189,181,190,895
77,弘山 誘,誘,男,風,DF,選手,中学生,一年生,御影専農中,人気者になりたくてサッカーしていたが今は　それを洗脳に頼っている。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
79,花岡 強,強,男,火,DF,選手,中学生,二年生,御影専農中,体は強化されたものの時に　我を失ってしまうようになった。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
81,室伏 恐,恐,男,山,DF,選手,中学生,二年生,御影専農中,洗脳で恐怖を植えつけられ何かに怯え　力を引き出している。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
83,稲田 則,則,男,林,DF,選手,中学生,二年生,御影専農中,洗脳によって　どんな行動でも規則通りにこなすようになった。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
85,寺川 巌,巌,男,火,MF,選手,中学生,三年生,御影専農中,洗脳によって感情を失い危ないプレイも平気で行う。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
87,藤丸 啓,啓,男,林,MF,選手,中学生,二年生,御影専農中,洗脳で神を見たと信じ込み命令を疑うことはない。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
89,山郷 暴,暴,男,火,MF,選手,中学生,三年生,御影専農中,洗脳によって凶暴性が増し反則すれすれの激しいプレイをする。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
91,山岸 迫,迫,男,風,FW,選手,中学生,二年生,御影専農中,絶対勝たなければというプレッシャーを植えつけられた　孤独な選手。,○,○,○,×,×,×,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
93,大部 信,信,男,林,MF,選手,中学生,二年生,御影専農中,洗脳によって自分たちのサッカーが一番だと信じ込まされている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
95,下鶴 改,改,男,火,FW,選手,中学生,二年生,御影専農中,おとなしかった性格が　洗脳によって攻撃的になってしまったという。,○,○,○,×,×,×,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
96,下鶴 改,改,男,火,FW,選手,中学生,二年生,御影専農中/ネオジャパン,もともと大人しい性格だがプレーの時は攻撃的になる。,○,○,○,×,×,×,×,×,○,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,真下 乏,真下,男,林,GK,選手,中学生,二年生,御影専農中,貧しい家を救うために洗脳を受けてプロになろうとしている。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
99,都築 静,都築,男,風,MF,選手,中学生,一年生,御影専農中,洗脳で　出せなかった本当の自分が出せるようになったという。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
101,平生 仁,平生,男,山,MF,選手,中学生,三年生,御影専農中,サッカー好きな病気の弟を励ますため洗脳を受けることにした。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
103,長友 喪,長友,男,火,FW,選手,中学生,二年生,御影専農中,洗脳によって　試合でやった反則をまったく覚えていない。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
104,水淵 無,水淵,男,林,DF,選手,中学生,二年生,御影専農中,周りから見下されていたが洗脳で　全てを見下すようになった。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
106,富山 新一郎,富山,男,林,MF,監督,大人,-,御影専農中,サッカーサイボーグと言われるほどデータ通りの完璧なサッカーを指揮する。,○,×,×,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
107,相戸留 捜,アイドル,男,山,GK,選手,中学生,二年生,秋葉名戸学園,デビュー前のアイドルを追っかけ将来のスターを探す情熱家。,○,○,○,×,×,×,×,×,○,83,90,84,91,99,104,90,173,180,174,189,181,190,895
108,線路 鉄雄,てっちゃん,男,火,DF,選手,中学生,三年生,秋葉名戸学園,鉄道模型が大好きでいつか線路だけの部屋を持つのが夢。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
109,野部流 来人,ノベル,男,林,MF,選手,中学生,二年生,秋葉名戸学園,ライトノベルが好きで自分でも毎月コンテストに作品を送っている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
110,無敵 英雄,ヒーロー,男,火,MF,選手,中学生,二年生,秋葉名戸学園,特撮ヒーローに憧れ近所の小学生とヒーローごっこをしている。,○,○,○,×,×,×,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
111,仮沢 装,コスプレ,男,山,DF,選手,中学生,二年生,秋葉名戸学園,アニメのコスプレをするのが大好き。お金がないので服は自分で作る。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
112,御良 一輝,オンライン,男,林,FW,選手,中学生,二年生,秋葉名戸学園,ネットワークゲームにハマって夜ふかしし授業中はいつも寝ている。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
113,自作 派流,じさくは,男,風,FW,選手,中学生,二年生,秋葉名戸学園,パソコンは全部自分で組み立てる。家には１０台を超えるマシンが。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
114,呂簿 合機,ロボ,男,風,MF,選手,中学生,一年生,秋葉名戸学園,ロボットアニメが彼の生きがい。合体シーンではテレビに絶叫。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
115,芸夢 好武,ゲームき,男,火,FW,選手,中学生,二年生,秋葉名戸学園,筋金入りのゲームマニア。ゲームはすべて発売日に手に入れる。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
116,漫画 萌,まんがか,男,風,FW,選手,中学生,二年生,秋葉名戸学園,中学生にして売れっ子の　マンガ作家。学校でもよくサインをねだられるという。,○,○,○,×,○,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
117,明井戸 達人,アーケード,男,林,FW,選手,中学生,三年生,秋葉名戸学園,ゲームセンターのメダルで生活しているというゲームの達人。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
118,木内 努,木内,男,風,MF,選手,中学生,二年生,秋葉名戸学園,自分でラジオやトランシーバーなどを組み立てるのが得意なパーツマニア。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
119,造形 製雄,フィギュア,男,山,DF,選手,中学生,二年生,秋葉名戸学園,フィギュア作りはプロ顔負けの技術でその作品は　プレミアつきらしい。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
120,闘馬 草太,闘馬,男,火,GK,選手,中学生,一年生,秋葉名戸学園,格闘ゲームが大好きで人気のないキャラで勝つのがポリシー。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
121,声模 索太,せいゆう,男,風,DF,選手,中学生,二年生,秋葉名戸学園,声優になりたくていつも　声マネの練習をしている。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
122,熱斗 探李,ネット,男,林,DF,選手,中学生,一年生,秋葉名戸学園,ネットで面白いサイトを探してはウイルスに感染している　懲りない人。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
123,真二屋 才人,真二屋,男,山,MF,監督,大人,-,秋葉名戸学園,メイド喫茶に入り浸り　スイカ入りのオリジナルメニューまで考案した。,○,×,×,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
124,明童 芽衣奈,芽衣奈,女,林,DF,マネージャー,中学生,二年生,秋葉名戸学園,試合中もキュートなメイド服を身にまとい疲れた選手たちを　笑顔で癒やす。,○,×,×,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
125,百地 三太,百地,男,林,GK,選手,中学生,三年生,戦国伊賀島中,守りの堅い名キーパーだがその素顔はチームメイトにも見せない。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
126,藤林 長門,藤林,男,山,DF,選手,中学生,二年生,戦国伊賀島中,ライフルの名手で１００メートル先の小さな的でも外さない。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
127,高坂 仁,高坂,男,風,DF,選手,中学生,二年生,戦国伊賀島中,すぐに熱を出しやすい体質で十分に活躍できたためしがない。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
128,児雷也 蟇助,児雷也,男,山,DF,選手,中学生,二年生,戦国伊賀島中,どんなケガにも「ガマの油が一番効く」と言い張って　誰にでも塗りたくる。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
129,石川 五衛太,ゴエモン,男,火,DF,選手,中学生,三年生,戦国伊賀島中,盗めないものはないと言うが金持ちしか狙わないという。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
130,風魔 小平太,風魔,男,山,MF,選手,中学生,二年生,戦国伊賀島中,仲間にしか分からない合言葉で指示を出す裏の指揮官。,○,○,○,×,×,×,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
131,甲賀 幻,甲賀,男,風,MF,選手,中学生,二年生,戦国伊賀島中,幻術を得意とし　目くらましのような動きで相手を混乱させる。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
132,猿飛 佐之助,猿飛,男,風,MF,選手,中学生,一年生,戦国伊賀島中,猿のように軽い身のこなしでどんなところにも登ることができる。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
133,柳生 十郎,柳生,男,林,FW,選手,中学生,三年生,戦国伊賀島中,忍術と剣術に秀でているが眼帯で力を抑えている。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
